text,sura,lemmatized
ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قردة خٰسين,سورة البقرة,"['قد', 'علم', 'الذي', 'اعتدى', 'من', 'في', 'سبت', 'قال', 'ل', 'كان', 'قرد', 'خس']"
فجعلنٰها نكٰلا لما بين يديها وما خلفها وموعظة للمتقين,سورة البقرة,"['فجعلنها', 'نكل', 'ما', 'بين', 'يد', 'ما', 'خلف', 'موعظة', 'متقي']"
واذ قال موسىٰ لقومه ان الله يامركم ان تذبحوا بقرة قالوا اتتخذنا هزوا قال اعوذ بالله ان اكون من الجٰهلين,سورة البقرة,"['اذ', 'قال', 'موسى', 'قوم', 'ان', 'الله', 'يامركم', 'ان', 'ذبح', 'بقر', 'قال', 'اتتخذنا', 'هز', 'قال', 'اعوذ', 'الله', 'ان', 'اكون', 'من', 'جهل']"
قالوا ادع لنا ربك يبين لنا ما هي قال انه يقول انها بقرة لا فارض ولا بكر عوان بين ذٰلك فافعلوا ما تؤمرون,سورة البقرة,"['قال', 'ادع', 'ل', 'رب', 'بين', 'ل', 'ما', 'هي', 'قال', 'ان', 'قال', 'انها', 'بقر', 'لا', 'فارض', 'لا', 'بكر', 'عوان', 'بين', 'ذلك', 'افعل', 'ما', 'تؤمر']"
قالوا ادع لنا ربك يبين لنا ما لونها قال انه يقول انها بقرة صفراء فاقع لونها تسر النٰظرين,سورة البقرة,"['قال', 'ادع', 'ل', 'رب', 'بين', 'ل', 'ما', 'لون', 'قال', 'ان', 'قال', 'انها', 'بقر', 'أصفر', 'فاقع', 'لون', 'سار', 'نظر']"
قالوا ادع لنا ربك يبين لنا ما هي ان البقر تشٰبه علينا وانا ان شاء الله لمهتدون,سورة البقرة,"['قال', 'ادع', 'ل', 'رب', 'بين', 'ل', 'ما', 'هي', 'ان', 'بقر', 'أشبه', 'على', 'وان', 'ان', 'شاء', 'الله', 'لمهتدون']"
بلىٰ من اسلم وجهه لله وهو محسن فله اجره عند ربه ولا خوف عليهم ولا هم يحزنون,سورة البقرة,"['بلى', 'من', 'اسلم', 'وجه', 'الله', 'هو', 'محسن', 'ل', 'اجر', 'عند', 'رب', 'لا', 'خوف', 'على', 'لا', 'هم', 'حزن']"
قال انه يقول انها بقرة لا ذلول تثير الارض ولا تسقي الحرث مسلمة لا شية فيها قالوا الٰن جئت بالحق فذبحوها وما كادوا يفعلون,سورة البقرة,"['قال', 'ان', 'قال', 'انها', 'بقر', 'لا', 'ذلول', 'أثار', 'ارض', 'لا', 'سقى', 'حرث', 'مسلم', 'لا', 'شي', 'في', 'قال', 'الن', 'جاء', 'حق', 'فذبحوها', 'ما', 'كاد', 'فعل']"
واذ قتلتم نفسا فادٰرٰتم فيها والله مخرج ما كنتم تكتمون,سورة البقرة,"['اذ', 'قتل', 'نفس', 'فادرتم', 'في', 'الله', 'مخرج', 'ما', 'كان', 'كتم']"
فقلنا اضربوه ببعضها كذٰلك يحي الله الموتىٰ ويريكم ءايٰته لعلكم تعقلون,سورة البقرة,"['قال', 'اضربوه', 'بعض', 'ذلك', 'حي', 'الله', 'ميت', 'يريكم', 'ءاي', 'لعل', 'عقل']"
